KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K00813	Tyrosine metabolism	ko00350	aspartate aminotransferase [EC:2.6.1.1]
K00813	Phenylalanine metabolism	ko00360	aspartate aminotransferase [EC:2.6.1.1]
K00813	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	aspartate aminotransferase [EC:2.6.1.1]
K00817	Histidine metabolism	ko00340	histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00817	Tyrosine metabolism	ko00350	histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00817	Phenylalanine metabolism	ko00360	histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00817	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00818	Arginine biosynthesis	ko00220	acetylornithine aminotransferase [EC:2.6.1.11]
K00819	Arginine and proline metabolism	ko00330	ornithine--oxo-acid transaminase [EC:2.6.1.13]
K00820	Alanine, aspartate and glutamate metabolism	ko00250	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00821	Arginine biosynthesis	ko00220	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17 2.6.1.11]
K00821	Lysine biosynthesis	ko00300	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17 2.6.1.11]
K00826	Cysteine and methionine metabolism	ko00270	branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00826	Valine, leucine and isoleucine degradation	ko00280	branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00826	Valine, leucine and isoleucine biosynthesis	ko00290	branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00831	Glycine, serine and threonine metabolism	ko00260	phosphoserine aminotransferase [EC:2.6.1.52]
K00831	Cysteine and methionine metabolism	ko00270	phosphoserine aminotransferase [EC:2.6.1.52]
K00832	Cysteine and methionine metabolism	ko00270	aromatic-amino-acid transaminase [EC:2.6.1.57]
K00832	Tyrosine metabolism	ko00350	aromatic-amino-acid transaminase [EC:2.6.1.57]
K00832	Phenylalanine metabolism	ko00360	aromatic-amino-acid transaminase [EC:2.6.1.57]
K00832	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	aromatic-amino-acid transaminase [EC:2.6.1.57]
K00835	Valine, leucine and isoleucine biosynthesis	ko00290	valine--pyruvate aminotransferase [EC:2.6.1.66]
K00841	Lysine biosynthesis	ko00300	aminotransferase [EC:2.6.1.-]
K00865	Glycine, serine and threonine metabolism	ko00260	glycerate 2-kinase [EC:2.7.1.165]
K00872	Glycine, serine and threonine metabolism	ko00260	homoserine kinase [EC:2.7.1.39]
K00891	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	shikimate kinase [EC:2.7.1.71]
K00925	Taurine and hypotaurine metabolism	ko00430	acetate kinase [EC:2.7.2.1]
K00926	Arginine biosynthesis	ko00220	carbamate kinase [EC:2.7.2.2]
K00928	Glycine, serine and threonine metabolism	ko00260	aspartate kinase [EC:2.7.2.4]
K00928	Cysteine and methionine metabolism	ko00270	aspartate kinase [EC:2.7.2.4]
K00928	Lysine biosynthesis	ko00300	aspartate kinase [EC:2.7.2.4]
K00930	Arginine biosynthesis	ko00220	acetylglutamate kinase [EC:2.7.2.8]
K00931	Arginine and proline metabolism	ko00330	glutamate 5-kinase [EC:2.7.2.11]
K00956	Selenocompound metabolism	ko00450	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K00957	Selenocompound metabolism	ko00450	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00998	Glycine, serine and threonine metabolism	ko00260	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01008	Selenocompound metabolism	ko00450	selenide, water dikinase [EC:2.7.9.3]
K01011	Cysteine and methionine metabolism	ko00270	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.2 2.8.1.1]
K01029	Valine, leucine and isoleucine degradation	ko00280	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
K01035	Lysine degradation	ko00310	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]
K01042	Selenocompound metabolism	ko00450	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01079	Glycine, serine and threonine metabolism	ko00260	phosphoserine phosphatase [EC:3.1.3.3]
K01089	Histidine metabolism	ko00340	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:3.1.3.15 4.2.1.19]
K01243	Cysteine and methionine metabolism	ko00270	adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K01251	Cysteine and methionine metabolism	ko00270	adenosylhomocysteinase [EC:3.3.1.1]
K01255	Glutathione metabolism	ko00480	leucyl aminopeptidase [EC:3.4.11.1]
K01256	Glutathione metabolism	ko00480	aminopeptidase N [EC:3.4.11.2]
K01259	Arginine and proline metabolism	ko00330	proline iminopeptidase [EC:3.4.11.5]
K01270	Glutathione metabolism	ko00480	dipeptidase D [EC:3.4.13.-]
K01424	Alanine, aspartate and glutamate metabolism	ko00250	L-asparaginase [EC:3.5.1.1]
K01424	Cyanoamino acid metabolism	ko00460	L-asparaginase [EC:3.5.1.1]
K01425	Arginine biosynthesis	ko00220	glutaminase [EC:3.5.1.2]
K01425	Alanine, aspartate and glutamate metabolism	ko00250	glutaminase [EC:3.5.1.2]
K01425	D-Glutamine and D-glutamate metabolism	ko00471	glutaminase [EC:3.5.1.2]
K01426	Arginine and proline metabolism	ko00330	amidase [EC:3.5.1.4]
K01426	Phenylalanine metabolism	ko00360	amidase [EC:3.5.1.4]
K01426	Tryptophan metabolism	ko00380	amidase [EC:3.5.1.4]
K01428	Arginine biosynthesis	ko00220	urease subunit alpha [EC:3.5.1.5]
K01430	Arginine biosynthesis	ko00220	urease subunit gamma [EC:3.5.1.5]
K01438	Arginine biosynthesis	ko00220	acetylornithine deacetylase [EC:3.5.1.16]
K01439	Lysine biosynthesis	ko00300	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01451	Phenylalanine metabolism	ko00360	hippurate hydrolase [EC:3.5.1.32]
K01460	Glutathione metabolism	ko00480	glutathionylspermidine amidase/synthetase [EC:6.3.1.8 3.5.1.78]
K01468	Histidine metabolism	ko00340	imidazolonepropionase [EC:3.5.2.7]
K01476	Arginine biosynthesis	ko00220	arginase [EC:3.5.3.1]
K01476	Arginine and proline metabolism	ko00330	arginase [EC:3.5.3.1]
K01478	Arginine biosynthesis	ko00220	arginine deiminase [EC:3.5.3.6]
K01479	Histidine metabolism	ko00340	formiminoglutamase [EC:3.5.3.8]
K01480	Arginine and proline metabolism	ko00330	agmatinase [EC:3.5.3.11]
K01496	Histidine metabolism	ko00340	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01523	Histidine metabolism	ko00340	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K01579	beta-Alanine metabolism	ko00410	aspartate 1-decarboxylase [EC:4.1.1.11]
K01580	Alanine, aspartate and glutamate metabolism	ko00250	glutamate decarboxylase [EC:4.1.1.15]
K01580	beta-Alanine metabolism	ko00410	glutamate decarboxylase [EC:4.1.1.15]
K01580	Taurine and hypotaurine metabolism	ko00430	glutamate decarboxylase [EC:4.1.1.15]
K01585	Arginine and proline metabolism	ko00330	arginine decarboxylase [EC:4.1.1.19]
K01586	Lysine biosynthesis	ko00300	diaminopimelate decarboxylase [EC:4.1.1.20]
K01609	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K01611	Cysteine and methionine metabolism	ko00270	S-adenosylmethionine decarboxylase [EC:4.1.1.50]
K01611	Arginine and proline metabolism	ko00330	S-adenosylmethionine decarboxylase [EC:4.1.1.50]
K01620	Glycine, serine and threonine metabolism	ko00260	threonine aldolase [EC:4.1.2.48]
K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K01641	Valine, leucine and isoleucine degradation	ko00280	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K01649	Valine, leucine and isoleucine biosynthesis	ko00290	2-isopropylmalate synthase [EC:2.3.3.13]
K01652	Valine, leucine and isoleucine biosynthesis	ko00290	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K01653	Valine, leucine and isoleucine biosynthesis	ko00290	acetolactate synthase I/III small subunit [EC:2.2.1.6]
K01657	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	anthranilate synthase component I [EC:4.1.3.27]
K01658	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	anthranilate synthase component II [EC:4.1.3.27]
K01667	Tryptophan metabolism	ko00380	tryptophanase [EC:4.1.99.1]
K01668	Tyrosine metabolism	ko00350	tyrosine phenol-lyase [EC:4.1.99.2]
K01687	Valine, leucine and isoleucine biosynthesis	ko00290	dihydroxy-acid dehydratase [EC:4.2.1.9]
K01692	Valine, leucine and isoleucine degradation	ko00280	enoyl-CoA hydratase [EC:4.2.1.17]
K01692	Lysine degradation	ko00310	enoyl-CoA hydratase [EC:4.2.1.17]
K01692	Phenylalanine metabolism	ko00360	enoyl-CoA hydratase [EC:4.2.1.17]
K01692	Tryptophan metabolism	ko00380	enoyl-CoA hydratase [EC:4.2.1.17]
K01692	beta-Alanine metabolism	ko00410	enoyl-CoA hydratase [EC:4.2.1.17]
K01693	Histidine metabolism	ko00340	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
K01695	Glycine, serine and threonine metabolism	ko00260	tryptophan synthase alpha chain [EC:4.2.1.20]
K01695	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	tryptophan synthase alpha chain [EC:4.2.1.20]
K01696	Glycine, serine and threonine metabolism	ko00260	tryptophan synthase beta chain [EC:4.2.1.20]
K01696	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	tryptophan synthase beta chain [EC:4.2.1.20]
K01703	Valine, leucine and isoleucine biosynthesis	ko00290	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.35 4.2.1.33]
K01704	Valine, leucine and isoleucine biosynthesis	ko00290	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.35 4.2.1.33]
K01712	Histidine metabolism	ko00340	urocanate hydratase [EC:4.2.1.49]
K01714	Lysine biosynthesis	ko00300	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K01733	Glycine, serine and threonine metabolism	ko00260	threonine synthase [EC:4.2.3.1]
K01735	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-dehydroquinate synthase [EC:4.2.3.4]
K01736	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	chorismate synthase [EC:4.2.3.5]
K01738	Cysteine and methionine metabolism	ko00270	cysteine synthase [EC:2.5.1.47]
K01739	Cysteine and methionine metabolism	ko00270	cystathionine gamma-synthase [EC:2.5.1.48]
K01739	Selenocompound metabolism	ko00450	cystathionine gamma-synthase [EC:2.5.1.48]
K01740	Cysteine and methionine metabolism	ko00270	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K01744	Alanine, aspartate and glutamate metabolism	ko00250	aspartate ammonia-lyase [EC:4.3.1.1]
K01745	Histidine metabolism	ko00340	histidine ammonia-lyase [EC:4.3.1.3]
K01750	Arginine and proline metabolism	ko00330	ornithine cyclodeaminase [EC:4.3.1.12]
K01752	Glycine, serine and threonine metabolism	ko00260	L-serine dehydratase [EC:4.3.1.17]
K01752	Cysteine and methionine metabolism	ko00270	L-serine dehydratase [EC:4.3.1.17]
K01753	Glycine, serine and threonine metabolism	ko00260	D-serine dehydratase [EC:4.3.1.18]
K01754	Glycine, serine and threonine metabolism	ko00260	threonine dehydratase [EC:4.3.1.19]
K01754	Valine, leucine and isoleucine biosynthesis	ko00290	threonine dehydratase [EC:4.3.1.19]
K01755	Arginine biosynthesis	ko00220	argininosuccinate lyase [EC:4.3.2.1]
K01755	Alanine, aspartate and glutamate metabolism	ko00250	argininosuccinate lyase [EC:4.3.2.1]
K01756	Alanine, aspartate and glutamate metabolism	ko00250	adenylosuccinate lyase [EC:4.3.2.2]
K01760	Cysteine and methionine metabolism	ko00270	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K01760	Selenocompound metabolism	ko00450	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K01775	D-Alanine metabolism	ko00473	alanine racemase [EC:5.1.1.1]
K01776	D-Glutamine and D-glutamate metabolism	ko00471	glutamate racemase [EC:5.1.1.3]
K01778	Lysine biosynthesis	ko00300	diaminopimelate epimerase [EC:5.1.1.7]
K01779	Alanine, aspartate and glutamate metabolism	ko00250	aspartate racemase [EC:5.1.1.13]
K01814	Histidine metabolism	ko00340	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K01817	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K01834	Glycine, serine and threonine metabolism	ko00260	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K01843	Lysine degradation	ko00310	lysine 2,3-aminomutase [EC:5.4.3.2]
K01844	Lysine degradation	ko00310	beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]
