1852361#Actinomyces bouchesdurhonensis#strain#Marseille-P2825
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
888050#Actinomyces cardiffensis F0333#strain|host|country|isolation_source#F0333|Homo sapiens|United Kingdom|oral
525245#Actinomyces coleocanis DSM 15436#strain|host|culture_collection|isolation_source#DSM 15436|Homo sapiens|DSM:15436|biological product [ENVO:02000043]
525245#Actinomyces coleocanis DSM 15436#strain#DSM 15436
525245#Actinomyces coleocanis DSM 15436#strain|culture_collection#DSM 15436|DSM:15436
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_07
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_08
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_09
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_10
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_11
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_12
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_13
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_14
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_15
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_16
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_17
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_18
1892869#Actinomyces glycerinitolerans#isolate|note#G10_assembly1|contig: scaffold_19
435830#Actinomyces graevenitzii C83#strain|host|isolation_source#C83|Homo sapiens|biological product [ENVO:02000043]
435830#Actinomyces graevenitzii C83#strain#C83
595468#Actinomyces hominis#strain|host|country|isolation_source|collection_date#UMB0859|Homo sapiens|USA: Maywood, IL|catheter|2015
178339#Actinomyces hongkongensis#strain|host|country|collection_date#HKU8|Homo sapiens|China: Shijiazhuang|20-Oct-2014
52770#Actinomyces hordeovulneris#strain|host|culture_collection|collection_date#DSM 20732|canine|DSM:20732|01-Oct-1984
1673722#Actinomyces ihuae#strain|old_name#SD1|Actinomyces sp. SD1
1673722#Actinomyces ihuae#old_name|strain#Actinomyces sp. SD1|SD1
1120944#Actinomyces israelii DSM 43320#strain|culture_collection|country#DSM 43320|DSM:43320|USA: Rochester, MN
1120944#Actinomyces israelii DSM 43320#strain|culture_collection#DSM 43320|DSM:43320
1321818#Actinomyces johnsonii F0542#strain|host|isolation_source#F0542|Homo sapiens|oral cavity- mouth
1127690#Actinomyces sp. oral taxon 181 str. F0379#strain|host|isolation_source#F0379|Homo sapiens|oral cavity
1921764#Actinomyces liubingyangii#strain|host|country|isolation_source|collection_date#VUL4_1|Gypaetus barbatus|China|feces|01-Jul-2013
156892#Actinomyces marimammalium#strain|host|culture_collection|country|collection_date#DSM 15383|marine mammals|DSM:15383|United Kingdom|2001
1852376#Actinomyces marseillensis#strain#Marseille-P2818
1167628#Actinomyces massiliensis 4401292#strain|host|culture_collection|note|country|isolation_source#4401292|Homo sapiens|CCUG:53522|type strain of Actinomyces massiliensis|France: Marseille|patient blood culture
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00004
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00003
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00002
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00001
1871028#Actinomyces mediterranea#strain#Marseille-P3257
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00001
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00002
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00003
1871028#Actinomyces mediterranea#strain|note#Marseille-P3257|contig: contig00004
52773#Actinomyces meyeri#strain|host|country|isolation_source|lat_lon|collection_date#W712|Homo sapiens|United Kingdom: London|curette|51.51 N 0.13 W|1984
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00024
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00023
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00022
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00021
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00020
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00019
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00018
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00017
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00016
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00015
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00014
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00013
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00012
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00011
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00010
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00009
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00008
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00007
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00006
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00005
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00004
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00003
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00002
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00001
2002838#Actinomyces minihominis#strain#Marseille-P3850
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00001
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00002
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00003
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00004
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00005
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00006
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00007
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00008
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00009
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00010
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00011
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00012
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00013
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00014
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00015
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00016
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00017
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00018
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00019
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00020
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00021
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00022
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00023
2002838#Actinomyces minihominis#strain|note#Marseille-P3850|contig: contig00024
1655#Actinomyces naeslundii#strain|country#ATCC 27039|Japan
208480#Actinomyces nasicola#strain|host|culture_collection|country|collection_date#DSM 19116|Homo sapiens|DSM:19116|United Kingdom|01-Jan-2003
1120945#Actinomyces neuii subsp. neuii DSM 8576#strain|host|sub_species|culture_collection|country|lat_lon#DSM 8576|Homo sapiens|neuii|DSM:8576|Switzerland|47.3739 N 8.53941 E
1120945#Actinomyces neuii subsp. neuii DSM 8576#strain|sub_species|culture_collection#DSM 8576|neuii|DSM:8576
411466#Actinomyces odontolyticus ATCC 17982#strain|host|isolation_source#ATCC 17982|Homo sapiens|biological product [ENVO:02000043]
411466#Actinomyces odontolyticus ATCC 17982#strain#ATCC 17982
544580#Actinomyces oris#strain|host|country|isolation_source|lat_lon#T14V|homo sapiens|USA: Boston, MA|curette|42.34 N 71.09 W
544580#Actinomyces oris#strain#T14V
1852377#Actinomyces pacaensis#strain|chromosome#Marseille-P2985|contig00001
1325934#Actinomyces polynesiensis#strain|old_name#MS2|Actinomyces sp. MS2
1325934#Actinomyces polynesiensis#old_name|strain#Actinomyces sp. MS2|MS2
1720198#Actinomyces provencensis#strain|old_name#SN12|Actinomyces sp. SN12
1720198#Actinomyces provencensis#old_name|strain#Actinomyces sp. SN12|SN12
111015#Actinomyces radicidentis#strain|host|country|isolation_source|collection_date#CCUG 36733|homo sapiens|Sweden|root canal scraping|1966
111015#Actinomyces radicidentis#strain#CCUG 36733
131110#Actinomyces radingae#strain|chromosome#DSM 9169|I
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_135
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_134
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_133
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_132
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_131
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_130
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_128
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_127
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_126
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_125
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_124
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_123
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_122
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_121
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_120
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_119
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_118
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_117
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_116
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_115
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_114
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_113
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_112
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_111
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_110
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_109
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_108
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_107
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_106
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_105
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_104
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_103
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_102
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_101
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_138
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_137
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_136
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_129
332524#Actinomyces ruminicola#strain#KPR-7B
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_101
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_102
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_103
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_104
332524#Actinomyces ruminicola#strain|note#KPR-7B|contig: Ga0059092_105
