"sample_number"	"sample_name"	"number_reads_after_clipmerge_prior_mapping"	"number_reads_mapped_prior_rmdup"	"number_reads_mapped_prior_rmdup_qf"	"number_duplicates_removed"	"number_reads_mapped_after_rmdup"	"percent_endogenous_dna"	"percent_endogenous_dna_qf"	"cluster_factor"	"mean_fold_coverage"	"std_dev_coverage"	"percent_coverage_morethan_1x"	"percent_coverage_morethan_2x"	"percent_coverage_morethan_3x"	"percent_coverage_morethan_4x"	"percent_coverage_morethan_5x"	"frequency_damage_1st_base_3prime"	"frequency_damage_2nd_base_3prime"	"frequency_damage_1st_base_5prime"	"frequency_damage_2nd_base_5prime"	"average_fragment_length"	"median_fragment_length"	"percent_gc_content"	"species"	"mapping_params"
"Sample 66/107"	"MOA001.A0101"	15176910	498882	437070	11724	425346	3.287	2.88	1.028	12.8461	11.4945	81.16	78.8	76.83	75.17	73.75	0.2921	0.1607	0.2901	0.1565	56.66	51	60.3	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	551297	385389	23374	362015	0.835	0.583	1.065	12.8173	21.5846	85.67	77.88	69.83	61.66	53.87	0.0319	0.0321	0.0331	0.0336	77.77	76	44.53	"Streptococcos_gordonii"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	481462	388679	11750	376929	0.725	0.585	1.031	12.2968	10.1941	84.5	79.13	75.02	71.8	69.01	0.0098	0.0106	0.01	0.0109	81.75	76	54.28	"Rothia_dentocariosa"	"strict"
"Sample 45/107"	"JAE006.A0101"	87883942	800188	408931	65337	343594	0.911	0.465	1.19	11.9105	41.8015	24.71	20.87	19.18	18.02	17.08	0.0171	0.0181	0.0162	0.0177	76.14	76	44.97	"Streptococcos_gordonii"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	542395	507458	18544	488914	0.864	0.809	1.038	11.6659	5.9696	90.56	89.18	88.28	87.5	86.63	0.0051	0.0065	0.0061	0.006	82.3	76	66.73	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	540876	387760	26181	361579	0.615	0.441	1.072	11.6072	22.2732	81.82	74.85	69.15	63.92	58.54	0.0117	0.0119	0.0119	0.0118	80.45	76	56.05	"Rothia_dentocariosa"	"strict"
"Sample 52/107"	"JAE014.A0101"	68620482	288583	271681	9363	262318	0.421	0.396	1.036	11.4896	9.2878	83.37	82.15	80.93	79.72	78.46	0.025	0.0217	0.0338	0.0269	82.18	76	60.41	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	437484	356861	11637	345224	0.662	0.54	1.034	11.0794	9.999	89.71	86.5	83.54	80.34	76.74	0.0298	0.0289	0.0338	0.032	80.43	76	55.38	"Rothia_dentocariosa"	"relaxed"
"Sample 95/107"	"PYK002.A0101"	17218978	544087	417977	13481	404496	3.16	2.427	1.033	10.5674	8.7798	76.22	74.14	72.32	70.48	68.52	0.0987	0.0613	0.1007	0.0625	49.01	45	60.12	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	496137	452952	16060	436892	0.791	0.722	1.037	10.4496	6.0459	88.28	86.13	84.58	83.14	81.52	0.0037	0.0044	0.0043	0.0043	82.5	76	66.73	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 47/107"	"JAE008.A0101"	65296039	417995	286200	10806	275394	0.64	0.438	1.039	10.2426	11.4243	76.47	70.05	65.62	61.85	58.42	0.0189	0.0186	0.0211	0.0206	81.7	76	41.54	"Streptococcos_gordonii"	"strict"
"Sample 25/107"	"EMN001.A0101"	12579489	397215	312088	10137	301951	3.158	2.481	1.034	10.2127	8.0678	82.34	77.76	74.62	72.08	69.65	0.1931	0.0765	0.2052	0.0828	63.45	60	59.47	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 53/107"	"JAE015.A0101"	57512281	285519	247344	15500	231844	0.496	0.43	1.067	10.1902	20.9568	82.91	81.56	80.29	78.77	76.85	0.0246	0.0208	0.0311	0.0258	82.46	76	60.43	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 98/107"	"PYK005.A0101"	21468513	394348	344800	8802	335998	1.837	1.606	1.026	10.1836	8.8218	79.25	76.11	74.12	72.53	70.99	0.1449	0.1009	0.1383	0.0981	56.86	52	60.36	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 87/107"	"OAK005.A0101"	16940328	852255	696251	17271	678980	5.031	4.11	1.025	10.1449	6.2186	89.78	86.83	84.43	81.95	79.11	0.2218	0.1472	0.2164	0.1415	51.54	46	65.02	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 54/107"	"JAE016.A0101"	94564553	464305	362220	13397	348823	0.491	0.383	1.038	10.0035	10.9461	88.72	78.99	69.6	61.86	55.8	0.0287	0.0274	0.0331	0.0288	78.64	76	51.35	"Treponema_socranskii"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	258004	228926	6665	222261	0.376	0.334	1.03	9.7749	7.3224	81.38	79.37	77.45	75.54	73.46	0.0187	0.0156	0.0258	0.0194	82.51	76	60.5	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 97/107"	"PYK004.A0101"	16708305	683331	620733	14664	606069	4.09	3.715	1.024	9.6713	4.7376	96.12	94.17	92.16	89.74	86.51	0.1211	0.0888	0.1146	0.0859	55.04	50	65.78	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 51/107"	"JAE013.A0101"	38954329	463399	278253	13056	265197	1.19	0.714	1.049	9.5359	16.0561	79.17	70.28	63.43	57.5	52.36	0.0187	0.0179	0.0201	0.0206	78.99	76	43.22	"Streptococcos_gordonii"	"strict"
"Sample 66/107"	"MOA001.A0101"	15176910	410722	301437	7448	293989	2.706	1.986	1.025	8.9223	8.59	77.71	73.93	70.75	67.86	65.05	0.1974	0.0885	0.2054	0.0943	56.94	52	60.62	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 86/107"	"OAK004.A0101"	13488774	1004850	671648	35301	636347	7.45	4.979	1.055	8.716	7.32	86.61	79.69	73.26	67.55	62.47	0.0791	0.0451	0.0817	0.0468	47.24	42	65.4	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 53/107"	"JAE015.A0101"	57512281	246766	203623	9469	194154	0.429	0.354	1.049	8.555	13.4761	80.92	78.78	76.65	74.16	71.07	0.0174	0.0147	0.0223	0.0189	82.67	76	60.58	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 101/107"	"TAF008.B0101"	11524885	550072	387502	59689	327813	4.773	3.362	1.182	8.4717	7.2382	82.83	78.45	74.4	70.35	65.92	0.2642	0.0991	0.2735	0.1024	48.48	44	59.89	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 46/107"	"JAE007.A0101"	66419551	454841	246491	12293	234198	0.685	0.371	1.052	8.3716	20.0438	46.41	37.75	32.81	29.45	26.91	0.0177	0.0199	0.0169	0.0184	77.73	76	32.2	"Fusobacterium_nucleatum"	"strict"
"Sample 51/107"	"JAE013.A0101"	38954329	288431	243920	6729	237191	0.74	0.626	1.028	7.6538	8.277	92.23	87.7	81.74	74.33	65.55	0.0248	0.0241	0.0278	0.0258	80.87	76	55.33	"Rothia_dentocariosa"	"relaxed"
"Sample 97/107"	"PYK004.A0101"	16708305	267520	244853	5709	239144	1.601	1.465	1.024	7.6143	6.3908	81.75	77.96	75.08	72.28	68.93	0.1123	0.0753	0.1084	0.0758	59.73	55	60.72	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 97/107"	"PYK004.A0101"	16708305	592292	483259	10886	472373	3.545	2.892	1.023	7.5657	4.0952	95.03	91.84	88.09	83.33	77.09	0.0838	0.0593	0.0824	0.0596	55.24	50	66	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 51/107"	"JAE013.A0101"	38954329	338877	319274	7228	312046	0.87	0.82	1.023	7.5095	3.9564	90.55	89.17	87.53	84.69	79.92	0.014	0.013	0.019	0.0162	83.01	76	66.37	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 28/107"	"ESA006.A0101"	11233426	590724	496393	12732	483661	5.259	4.419	1.026	7.4229	5.1318	90.15	84.11	78.08	72.11	66.36	0.0906	0.0734	0.0893	0.0715	52.94	47	65.7	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 53/107"	"JAE015.A0101"	57512281	347687	314140	9671	304469	0.605	0.546	1.032	7.3084	5.2125	85.29	82.24	80.04	77.42	73.45	0.0239	0.0221	0.0331	0.0265	82.8	76	66.7	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 16/107"	"DJA007.A0101"	17395667	350560	286728	9164	277564	2.015	1.648	1.033	7.1538	8.7377	75.22	71.74	68.66	65.36	61.62	0.0931	0.0742	0.093	0.0742	48.35	44	60.62	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	318575	228943	6353	222590	0.482	0.347	1.029	7.1442	7.2933	83.12	76.24	70.23	64.32	58.35	0.0202	0.0194	0.0241	0.0226	80.43	76	54.73	"Rothia_dentocariosa"	"strict"
"Sample 98/107"	"PYK005.A0101"	21468513	315841	235440	5491	229949	1.471	1.097	1.024	6.9545	6.3008	76.14	71.73	68.33	64.98	61.31	0.0907	0.0586	0.0902	0.0604	56.74	52	60.82	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 17/107"	"EBO001.A0101"	15767290	825511	600853	34201	566652	5.236	3.811	1.06	6.9445	6.7069	75.47	68.26	62.98	58.4	54.05	0.0611	0.0537	0.0624	0.0515	42.27	39	66.41	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 26/107"	"ESA003.A0101"	10129501	553359	464563	11546	453017	5.463	4.586	1.025	6.8818	4.5187	91.43	87.01	81.6	74.97	67.24	0.0605	0.057	0.0587	0.0558	52.4	47	65.31	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 8/107"	"CDC006.A0101"	15120313	325159	260186	7396	252790	2.15	1.721	1.029	6.836	10.1418	81.44	76.26	71.61	66.73	61.18	0.1206	0.0918	0.1158	0.0908	50.73	46	58.92	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 51/107"	"JAE013.A0101"	38954329	313336	287212	6217	280995	0.804	0.737	1.022	6.7788	3.9145	88.65	86.39	83.76	79.8	73.83	0.0106	0.0102	0.0154	0.0129	83.21	76	66.39	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 47/107"	"JAE008.A0101"	65296039	247293	198554	5858	192696	0.379	0.304	1.03	6.5408	7.3151	74.68	68.65	63.65	59.12	54.81	0.0314	0.0311	0.0388	0.0321	81.95	76	43.96	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 85/107"	"OAK003.A0101"	17189509	521143	430957	10033	420924	3.032	2.507	1.024	6.5396	4.5267	87.36	83.04	77.92	71.67	64.58	0.2185	0.1276	0.2152	0.1249	53.59	47	65.3	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 46/107"	"JAE007.A0101"	66419551	412534	203291	18369	184922	0.621	0.306	1.099	6.4773	21.727	22.34	19.08	17.45	16.35	15.47	0.0153	0.0159	0.0152	0.0154	76.94	76	44.58	"Streptococcos_gordonii"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	285443	187891	7886	180005	0.455	0.299	1.044	6.4671	12.5572	53.96	43.69	37.78	33.58	30.31	0.0313	0.0349	0.0282	0.0333	78.12	76	32.76	"Fusobacterium_nucleatum"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	267975	184763	7221	177542	0.391	0.269	1.041	6.44	9.7283	82.07	70.26	58.75	48	38.82	0.0347	0.0328	0.0369	0.0356	79.68	76	43.71	"Streptococcos_gordonii"	"relaxed"
"Sample 47/107"	"JAE008.A0101"	65296039	259192	203368	8416	194952	0.397	0.311	1.043	6.2934	11.105	81.65	66.92	50.91	36.91	26.89	0.0217	0.0229	0.0238	0.0252	80.9	76	56.49	"Rothia_dentocariosa"	"relaxed"
"Sample 48/107"	"JAE009.A0101"	66062410	320319	185359	8548	176811	0.485	0.281	1.048	6.2648	12.4197	74.97	62.66	52.03	42.81	35.03	0.0185	0.0185	0.0195	0.0205	77.83	76	43.53	"Streptococcos_gordonii"	"strict"
"Sample 96/107"	"PYK003.A0101"	14732223	262801	223436	4894	218542	1.784	1.517	1.022	6.2618	5.1377	84.56	79.98	75.19	69.66	63.19	0.1462	0.1054	0.1445	0.1038	53.75	48	59.25	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 33/107"	"FUM002.A0101"	17157534	293809	256283	18608	237675	1.712	1.494	1.078	6.1155	5.3964	79.93	74.39	70.02	65.46	60.11	0.3448	0.1839	0.3352	0.1758	48.27	44	59.16	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 97/107"	"PYK004.A0101"	16708305	233966	190148	4090	186058	1.4	1.138	1.022	5.9396	5.1097	78.85	73.68	69.22	64.45	59.02	0.0766	0.0486	0.0762	0.0507	59.89	56	60.94	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 87/107"	"OAK005.A0101"	16940328	617759	403166	9236	393930	3.647	2.38	1.023	5.9171	4.5571	84.51	78.06	71.93	65.2	58.05	0.1353	0.078	0.1384	0.0808	51.81	45	65.54	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 27/107"	"ESA004.A0101"	7824141	532949	444713	11559	433154	6.812	5.684	1.027	5.8632	4.2751	87.41	80.27	73.5	66.63	59.32	0.0786	0.0689	0.0788	0.0687	46.69	43	64.83	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 53/107"	"JAE015.A0101"	57512281	289910	242536	6781	235755	0.504	0.422	1.029	5.6908	4.5211	80.46	75.1	70.57	65.58	59.47	0.0167	0.015	0.0233	0.0188	83.26	76	66.72	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 53/107"	"JAE015.A0101"	57512281	263483	197878	7252	190626	0.458	0.344	1.038	5.4566	8.1068	59.19	46.94	40.97	36.98	33.78	0.0286	0.0279	0.031	0.0273	78.49	76	52.03	"Treponema_socranskii"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	265521	233022	5375	227647	0.302	0.265	1.024	5.4249	3.6141	85.99	82.59	78.16	71.45	62.01	0.009	0.0103	0.0086	0.0102	82.2	76	66.79	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 55/107"	"KNP001.A0102"	16260023	173304	145662	3888	141774	1.066	0.896	1.027	5.3949	6.3014	72.97	69.3	65.47	60.65	54.61	0.1066	0.087	0.1105	0.0963	71.39	74	59	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 54/107"	"JAE016.A0101"	94564553	282987	189236	5706	183530	0.299	0.2	1.031	5.2634	7.0776	81.47	65.95	52.25	41.5	34	0.0171	0.016	0.0202	0.0187	78.64	76	50.9	"Treponema_socranskii"	"strict"
"Sample 51/107"	"JAE013.A0101"	38954329	214747	163013	3760	159253	0.551	0.418	1.024	5.1449	5.8414	86.64	77.56	67.48	56.75	46.35	0.0153	0.0141	0.0171	0.0159	80.96	76	54.62	"Rothia_dentocariosa"	"strict"
"Sample 87/107"	"OAK005.A0101"	16940328	213970	187739	4715	183024	1.263	1.108	1.026	5.1311	5.5978	76.01	73.05	69	63.25	55.4	0.2144	0.1235	0.2044	0.1197	52.6	47	59.35	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 62/107"	"LIS001.A0101"	10615930	343677	308649	6699	301950	3.237	2.907	1.022	5.0729	3.3919	85.9	81.67	75.63	67.18	56.69	0.0461	0.0425	0.047	0.041	57.95	52	66.15	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 21/107"	"ECO002.B0101"	24662284	285350	232881	9459	223422	1.157	0.944	1.042	4.9253	5.2972	82.56	73.86	65.13	56.18	47.04	0.4458	0.248	0.438	0.2423	41.36	39	57.5	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 70/107"	"MTM003.A0101"	34546048	442781	251375	19260	232115	1.282	0.728	1.083	4.9199	14.5344	27.14	22.56	20	18.22	16.81	0.0415	0.0469	0.0394	0.0471	53.12	49	56.98	"Rothia_dentocariosa"	"relaxed"
"Sample 52/107"	"JAE014.A0101"	68620482	225081	173021	4415	168606	0.328	0.252	1.026	4.8735	5.5706	80.55	65.56	53.1	43.4	36.27	0.0351	0.0329	0.0447	0.0366	79.26	76	51.24	"Treponema_socranskii"	"relaxed"
