"protein"
"Cysteine synthase (EC 2.5.1.47)"
"Serine acetyltransferase (EC 2.3.1.30)"
"Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)"
"Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)"
"Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"
"Glutamate 5-kinase (EC 2.7.2.11)"
"Glutamine synthetase type I (EC 6.3.1.2)"
"Aspartate ammonia-lyase (EC 4.3.1.1)"
"L-asparaginase (EC 3.5.1.1)"
"Aconitate hydratase (EC 4.2.1.3)"
"Citrate synthase (si) (EC 2.3.3.1)"
"Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)"
"Phosphoenolpyruvate carboxylase (EC 4.1.1.31)"
"Pyruvate,phosphate dikinase (EC 2.7.9.1)"
"Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)"
"D-serine/D-alanine/glycine transporter"
"Glycerate kinase (EC 2.7.1.31)"
"Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)"
"L-serine dehydratase (EC 4.3.1.17)"
"L-serine dehydratase, alpha subunit (EC 4.3.1.17)"
"Seryl-tRNA synthetase (EC 6.1.1.11)"
"Dihydrolipoamide dehydrogenase (EC 1.8.1.4)"
"Adenylosuccinate synthetase (EC 6.3.4.4)"
"ATP phosphoribosyltransferase (EC 2.4.2.17)"
"Histidinol dehydrogenase (EC 1.1.1.23)"
"Histidinol-phosphate aminotransferase (EC 2.6.1.9)"
"Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)"
"Histidine ammonia-lyase (EC 4.3.1.3)"
"Urocanate hydratase (EC 4.2.1.49)"
"3-ketoacyl-CoA thiolase (EC 2.3.1.16)"
"Butyryl-CoA dehydrogenase (EC 1.3.99.2)"
"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)"
"Aspartokinase (EC 2.7.2.4)"
"Diaminopimelate decarboxylase (EC 4.1.1.20)"
"Homoserine dehydrogenase (EC 1.1.1.3)"
"Homoserine kinase (EC 2.7.1.39)"
"Threonine synthase (EC 4.2.3.1)"
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
"Acetate kinase (EC 2.7.2.1)"
"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)"
"5'-methylthioadenosine nucleosidase (EC 3.2.2.16)"
"Adenosylhomocysteinase (EC 3.3.1.1)"
"S-adenosylmethionine synthetase (EC 2.5.1.6)"
"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)"
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
"Homoserine O-acetyltransferase (EC 2.3.1.31)"
"Methionine ABC transporter ATP-binding protein"
"Methionine ABC transporter permease protein"
"Methionine ABC transporter substrate-binding protein"
"O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)"
"Pyruvate dehydrogenase E1 component (EC 1.2.4.1)"
"Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)"
"Cobalt-zinc-cadmium resistance protein CzcA"
"Phosphate acetyltransferase (EC 2.3.1.8)"
"Threonine dehydrogenase and related Zn-dependent dehydrogenases"
"Aminodeoxychorismate lyase (EC 4.1.3.38)"
"Anthranilate phosphoribosyltransferase (EC 2.4.2.18)"
"Anthranilate synthase, aminase component (EC 4.1.3.27)"
"Indole-3-glycerol phosphate synthase (EC 4.1.1.48)"
"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
"Tryptophan synthase alpha chain (EC 4.2.1.20)"
"Tryptophan synthase beta chain (EC 4.2.1.20)"
